store_id,g_rating,g_revcount,j_prior,j_post,g_lowk,g_highk
AJ,4.8,67,4.0,,4.655,4.611
RRAC,4.6,124,4.0,,4.560,4.544
SHTTA,3.9,33,3.3,,4.237,4.302
SLTS,4.3,6,2.0,,4.443,4.450
RT,4.5,51,3.5,,4.480,4.475
TA,4.7,26,2.5,,4.542,4.517
WSAM,4.5,138,4.0,,4.489,4.485
MSA2,4.6,26,3.0,,4.508,4.493
FNJ,5.0,26,3.8,,4.645,4.588
FKTS,4.7,35,4.0,,4.559,4.531
IAM,3.2,36,3.8,,3.933,4.081
TTAT,4.7,37,4.0,,4.562,4.534
FKOE,4.6,142,3.6,,4.564,4.548
CSTAT,4.2,253,3.8,,4.243,4.265
GSTS,4.6,87,3.8,,4.549,4.532
CMT,3.9,30,3.9,,4.250,4.312
OA,4.8,151,3.5,,4.715,4.679
TSP,4.3,115,1.0,,4.349,4.367
PIMAA,4.8,45,2.8,,4.621,4.579
SS2,3.7,18,1.8,,4.259,4.325
MTS,4.6,100,3.8,,4.553,4.536
RCTS,4.1,66,3.4,,4.255,4.301
V,4.8,59,4.1,,4.644,4.601
AIC,4.8,8,3.6,,4.507,4.490
AVM,4.9,36,4.1,5.00,4.644,4.593
BUKB,4.1,24,1.0,,4.343,4.380
MTA,3.4,13,3.9,,4.241,4.317
NTYC,4.6,8,3.7,,4.479,4.472
PAPE,4.6,46,3.9,,4.527,4.510
CWUTS,4.5,77,3.3,,4.484,4.479
MAM,4.6,"1,626",3.8,,4.596,4.593
AAI,4.4,99,4.1,,4.420,4.428
HOD,4.6,149,3.9,,4.565,4.550
TVAT,4.8,162,4.3,3.50,4.720,4.684
TSL,5.0,1,1.0,,4.471,4.467
GFIM,4.4,114,3.0,,4.418,4.425
NLRS,4.3,48,3.7,,4.382,4.402
TCKA,4.8,98,4.6,3.50,4.685,4.644
CIHI,4.6,328,1.5,,4.582,4.572
GCHFH,3.5,69,3.5,,3.903,4.026
ORBA,3.8,21,1.0,,4.265,4.328
AAM,3.4,72,3.8,,3.835,3.969
CFAN,5.0,3,4.0,,4.491,4.479
FSW,4.7,213,4.1,4.20,4.654,4.632
TCS,4.1,63,3.9,,4.259,4.305
JHA,4.4,65,3.0,,4.426,4.434
CTSAB,5.0,16,3.2,,4.591,4.547
CTS,4.7,21,3.7,,4.531,4.508
BB,4.0,1,0.5,,4.451,4.455
NTYRS,4.6,56,3.9,,4.534,4.516
RE,4.6,28,0.5,,4.510,4.495
TBH,4.9,346,4.0,,4.844,4.815
BA,4.3,25,3.8,,4.407,4.423
CCC,4.4,38,1.0,,4.434,4.441
GT,5.0,6,2.0,,4.518,4.496
TGD,4.4,23,3.9,,4.441,4.447
TRVM,5.0,20,3.6,,4.614,4.565
BBAAC,4.5,54,2.8,,4.481,4.476
SAF,4.8,70,1.0,,4.658,4.615
VWT-Olmstead,4.2,387,4.5,,4.230,4.246
MSA,4.6,114,3.8,,4.557,4.541
RS,4.9,42,4.1,,4.661,4.607
SBTL,4.5,525,4.0,5.00,4.497,4.495
PBB,4.4,86,2.6,,4.422,4.430
TATL,4.9,10,3.0,,4.534,4.507
MCVC,4.0,71,0.0,,4.190,4.249
SL,3.7,208,4.9,5.00,3.847,3.918
NTVS,5.0,15,1.0,,4.585,4.542
CC,4.7,464,1.2,,4.677,4.663
FNFVC,4.7,33,0.0,,4.556,4.528
MF,5.0,17,1.0,,4.597,4.552
MC,4.6,45,2.0,,4.526,4.509
VWT-Lakewood,4.2,813,4.5,3.50,4.215,4.224
ATFY,4.6,56,3.0,,4.534,4.516
PG,4.6,94,4.1,,4.551,4.534
PGCCA,5.0,20,2.0,,4.614,4.565
SS,5.0,7,2.0,,4.527,4.502
VNTG,4.1,106,2.0,,4.215,4.259
TSYRS,4.7,135,3.6,,4.635,4.608
RUST,4.8,16,0.1,,4.543,4.515
STA,4.8,139,3.4,,4.710,4.672
ASVC,4.7,13,1.5,,4.510,4.493
AVAT,4.7,72,2.5,,4.602,4.571
BSS,4.7,44,5.0,5.00,4.572,4.543
OSW,4.9,18,2.8,,4.577,4.538
WPF,4.8,98,0.5,,4.685,4.644
SGBL,4.7,25,2.1,,4.540,4.515
TES,4.6,39,3.5,,4.521,4.505
OAAC,4.6,15,2.0,,4.492,4.482
RI1,5.0,11,3.0,,4.558,4.523
VWT-Eastpointe,3.9,477,4.5,4.20,3.953,3.983
VWT-Southfield,4.0,471,4.5,,4.044,4.069
RWBT,3.8,699,4.0,5.00,3.844,3.870
CATTF,4.9,104,3.2,,4.757,4.704
MA,4.8,67,3.8,,4.655,4.611
VGR,4.7,16,2.8,,4.518,4.499
LAFV,4.7,114,3.8,,4.627,4.599
EHUR,4.1,131,2.0,,4.200,4.240
TWL,4.5,119,4.0,5.00,4.488,4.484
FUFA,4.7,251,3.2,,4.660,4.640
VWT-Warren,3.8,473,4.1,3.50,3.863,3.899
TS,3.5,481,5.0,5.00,3.590,3.642
VMDV,4.6,41,4.1,,4.523,4.506
RIAVA,4.7,15,3.8,,4.516,4.497
FFL,4.5,4,1.8,,4.463,4.462
GSADL,3.7,434,3.8,,3.779,3.823
FKVV,4.6,212,3.5,,4.573,4.561
VWT-Taylor,3.7,488,3.9,,3.771,3.811
VWT-Westland,4.0,630,4.0,3.50,4.034,4.054
FF,4.4,290,1.8,,4.409,4.413
VWT-Southgate,4.0,454,3.8,,4.046,4.071
A,4.7,121,3.0,,4.630,4.602
VEML,4.6,328,3.8,,4.582,4.572
GOGD,4.2,126,1.5,,4.274,4.304
FV,4.8,101,3.8,,4.687,4.646
ASWOD,4.1,103,4.0,,4.218,4.261
JT,4.7,24,2.3,,4.538,4.514
VogueVint,4.7,196,4.0,,4.651,4.628
SG,5.0,61,3.6,,4.757,4.688
VWT-OakPark,3.8,417,4.0,,3.871,3.910
DC,4.3,23,0.0,,4.410,4.426
OLSAA,4.8,54,2.0,,4.637,4.594
DFM,4.1,"2,195",3.8,,4.108,4.113
WBIS,4.5,110,2.0,,4.488,4.483
PVAAM,4.7,90,2.0,,4.614,4.585
YT,4.4,113,3.4,,4.418,4.426
TVFH,4.8,252,3.6,,4.744,4.715
TMM,4.5,"1,136",4.5,,4.498,4.497
LMLDV,4.8,50,3.3,,4.630,4.587
T,4.8,103,3.3,,4.689,4.648
BAM,4.5,194,3.8,,4.492,4.488
1VM,4.5,173,1.0,,4.491,4.487
KTS,4.5,259,3.8,,4.494,4.490
TSAFS,4.1,872,3.7,,4.120,4.131
SAFA,3.3,22,2.9,,4.106,4.218
AATS,4.1,113,3.5,,4.211,4.253
VWT9,4.0,610,4.0,3.50,4.035,4.055
FASV,5.0,9,3.2,,4.543,4.513
AAV,4.3,17,3.5,,4.420,4.433
SCA,4.7,138,4.0,,4.636,4.610
TGV,4.6,74,3.2,,4.544,4.526
JMA,4.4,22,3.4,,4.442,4.448
LHAAR,5.0,24,3.7,,4.635,4.581
RAGS,4.3,391,4.0,3.50,4.318,4.328
TTD,4.8,72,3.7,,4.661,4.618
GSADY,3.6,373,3.3,,3.702,3.757
AAPTS,4.4,254,4.1,,4.410,4.415
HFHR,4.2,477,3.5,,4.225,4.239
FLTT,4.8,72,3.2,,4.661,4.618
LWECO,4.6,179,2.0,,4.569,4.556
EA,4.5,281,3.5,,4.494,4.491
SV,4.9,17,1.0,,4.572,4.535
SAT,4.2,26,3.5,,4.371,4.398
HMA,4.4,172,3.0,,4.414,4.420
CAOL,4.5,103,3.6,,4.487,4.482
CFM,4.1,59,3.0,,4.265,4.311
TSOWR,4.6,833,2.8,,4.592,4.587
LH,4.5,244,3.6,,4.493,4.490
TTP,4.2,118,3.0,,4.277,4.308
NDS,4.9,34,2.5,,4.638,4.587
UVM,4.5,91,3.4,,4.486,4.481
AFAC,4.8,90,3.4,,4.679,4.636
2TAC,4.7,237,3.3,,4.658,4.638
GSDC,3.9,114,3.9,,4.071,4.137
AWFM,4.3,553,4.8,4.20,4.313,4.321
JADA,4.5,48,3.8,,4.480,4.475
WV,5.0,1,1.0,,4.471,4.467
BBW,4.0,46,3.0,,4.240,4.297
SOGS,4.6,105,2.5,,4.555,4.538
NEAM,4.2,32,2.8,,4.359,4.388
SCBAC,4.6,324,3.4,,4.581,4.571
ATBR,4.6,93,3.8,,4.551,4.534
CGAE,4.8,79,3.6,,4.668,4.625
HA,5.0,7,3.1,,4.527,4.502
AB,4.2,448,4.6,3.50,4.226,4.241
OHVC,4.8,17,3.6,,4.546,4.518
FTVA,4.6,68,3.8,,4.541,4.523
COO,4.6,73,3.7,,4.543,4.525
QCV,4.6,54,4.6,,4.533,4.515
STR,4.7,29,3.9,,4.548,4.522
SDDS,4.3,15,3.4,,4.423,4.436
BR,4.4,97,3.3,,4.420,4.428
TSSOB,4.5,18,3.0,,4.471,4.467
MCVB,4.2,222,2.5,,4.248,4.271
BRV,4.4,55,3.7,,4.429,4.436
SA,4.4,78,3.8,,4.424,4.431
SBSA,4.2,15,1.3,,4.400,4.421
SLADD,4.5,24,3.4,,4.473,4.469
ATSWS,4.4,313,4.1,,4.408,4.413
AKRTS,4.2,28,3.0,,4.367,4.395
HTSHFT,4.3,25,4.0,,4.407,4.423
HTSHFB,4.5,96,4.3,,4.486,4.482
SAVERST,4.1,723,5.0,4.20,4.123,4.137
HFHRN,4.5,103,3.5,,4.487,4.482
SCB,4.5,106,2.0,,4.487,4.482
SAVERSB,3.8,410,4.8,5.00,3.872,3.912
MSTS,5.0,12,3.0,,4.565,4.528
HFHRS,4.3,107,3.5,,4.351,4.370
SAVERSR,4.0,488,5.0,,4.043,4.067
TSAFSRO,3.7,335,3.5,,3.799,3.852
CR,4.1,111,3.4,,4.212,4.255
GCOHT,4.0,21,3.5,,4.324,4.368
LC,4.8,33,3.0,,4.595,4.556
SVDPT,3.9,309,3.2,,3.978,4.019
EUR,4.3,241,3.4,,4.328,4.341
RR,5.0,16,3.1,,4.591,4.547
PTS,4.7,103,3.6,,4.622,4.593
N2Y,4.4,81,3.0,,4.423,4.431
SOMM,5.0,8,2.8,,4.535,4.507
TSAFSAH,4.1,311,3.5,,4.150,4.176
FTRS,4.7,161,3.5,,4.643,4.618
ODTS,4.6,64,3.2,,4.539,4.521
TSAFSWB,4.0,446,3.6,,4.046,4.073
AU,5.0,"3,536",4.8,3.50,4.992,4.988
MB,4.8,42,3.9,,4.615,4.574
GJE,4.0,144,4.9,3.50,4.119,4.169
PLAM,4.4,375,3.5,,4.407,4.411
AU2,4.5,26,3.3,,4.474,4.470
PLTS,4.2,34,3.3,,4.355,4.385
TJD,4.5,35,3.7,,4.477,4.472
TFJM,3.8,4,3.3,,4.411,4.430
OOAU,4.6,56,4.0,,4.534,4.516
JPAAC,5.0,12,4.0,,4.565,4.528
GSADC,3.6,390,3.5,,3.698,3.752
TSAFSCT,4.0,558,3.7,4.20,4.038,4.060
GIOSM,3.9,174,3.7,,4.025,4.082
NARS,4.5,127,3.6,,4.489,4.484
SCR,4.6,187,3.8,4.20,4.571,4.557
MCAG,4.6,971,4.0,,4.593,4.589
PACM,4.8,24,3.7,,4.570,4.536
VA,4.3,118,3.3,,4.348,4.366
CCA,4.3,201,3.3,,4.332,4.347
TPCAA,4.7,"1,970",4.0,4.20,4.694,4.690
VVACV,4.7,23,3.4,,4.536,4.512
TBIN,4.5,121,3.8,,4.488,4.484
OFA,4.6,248,3.7,,4.577,4.565
SAL,4.8,178,3.5,,4.725,4.692
CAE,4.6,53,3.4,,4.532,4.515
CAM,4.3,146,3.6,,4.341,4.358
FCFIA,4.7,33,3.4,,4.556,4.528
TAF,4.9,37,3.6,,4.647,4.595
TSAFS6,4.4,"1,127",4.0,4.00,4.403,4.404
VWT-ClinTown,4.0,498,4.5,4.20,4.042,4.066
CHAM,4.4,46,4.0,,4.431,4.439