ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
OSW,OSW1,ArchSalvage,Old School Warehouse,"21 N Hamilton St, Monroeville, OH 44847",Old School Warehouse,4.9,18,2.8,Top,,,"Neat building, but not really doing ArchSalv",41.243728853697,-82.692132998183,-Have Lat-,-Have Lon-,85,https://maps.app.goo.gl/JwaZMu33CBz6WAtAA
WPF,WPF1,Boutique,When Pigs Fly,"31 E Main St, Norwalk, OH 44857",When Pigs Fly,4.8,98,0.5,Mid,,,Boutique; Skip.,41.242965296570,-82.614400901245,-Have Lat-,-Have Lon-,86,https://maps.app.goo.gl/hCSyAE2M8KZcuxQf6
SGBL,SGBL1,Thrift,Something Good & Beyond LLC,"1607 W Monroe St, Sandusky, OH 44870",Something Good & Beyond LLC,4.7,25,2.1,Low,,,Not vibing with interior photos,41.446642263524,-82.722574196294,-Have Lat-,-Have Lon-,87,https://maps.app.goo.gl/QR6NjZRdzxrCGx4k9
TES,TES1,Thrift,The Encore Shop,"2215 Cleveland Rd W, Sandusky, OH 44870",The Encore Shop,4.6,39,3.5,Mid,,,Proper thrift store,41.436891189720,-82.669224966107,-Have Lat-,-Have Lon-,88,https://maps.app.goo.gl/kiJHwmvxvrNGCtt49
OAAC,OAAC1,Thrift,Oscar's Antiques and Consignments,"591 N Sandusky St, Tiffin, OH 44883",Oscar's Antiques and Consignments,4.6,15,2.0,Low,,,Low end thrift junk,41.133386807689,-83.172989270245,-Have Lat-,-Have Lon-,89,https://maps.app.goo.gl/rxKsTYsQRdADMZ9Z9
RI1,RI11,Thrift,Reclaim It 127,"127 S Washington St, Tiffin, OH 44883",Reclaim It 127,5.0,11,3.0,Top,,,"Nicely done upcycle, but meh",41.113857745018,-83.176378753354,-Have Lat-,-Have Lon-,90,https://maps.app.goo.gl/GFnJ8ko7nznKXSiM8
VWT-Eastpointe,VWT2,Thrift,Value World Thrift,"24900 Kelly Rd, Eastpointe, MI 48021",Value World Thrift,3.9,477,4.5,Top,,,Classic Chain- Get in there.,42.478985165724,-82.926959459334,-Have Lat-,-Have Lon-,91,https://maps.app.goo.gl/RXGr6CX2yLCaHMxP7
VWT-Southfield,VWT3,Thrift,Value World Thrift,"25646 Eight Mile W, Southfield, MI 48033",Value World Thrift,4.0,471,4.5,Top,,,Classic Chain- Get in there.,42.442742196635,-83.295836478484,-Have Lat-,-Have Lon-,92,https://maps.app.goo.gl/5bNiBsZXKHpuvr3C6
RWBT,RWBT1,Thrift,Red White & Blue Thrift Store,"37545 Southbound Gratiot Ave, Clinton Township, MI 48036",Red White & Blue Thrift Store,3.8,699,4.0,Top,,,Classic Large Thrift Store,42.572945446062,-82.890151473912,-Have Lat-,-Have Lon-,93,https://maps.app.goo.gl/CBs1yKijoRRTWoue9
CATTF,CATTF1,Antique,Charlie and the Treasure Factory,"40716 Hayes Rd, Clinton Township, MI 48038",Charlie and the Treasure Factory,4.9,104,3.2,Top,,,Seems to be toys and collectibles,42.595223300845,-82.971890430696,-Have Lat-,-Have Lon-,94,https://maps.app.goo.gl/tx4WuuLiWQ7uprov5
MA,MA1,Thrift,Mimi's Attic,"221 Northbound Gratiot Ave, Mt Clemens, MI 48043",Mimi's Attic,4.8,67,3.8,Mid,,,Worth checking out,42.604339147074,-82.874189515667,-Have Lat-,-Have Lon-,95,https://maps.app.goo.gl/5PthKdUJ9DiaMfWr8
VGR,VGR1,Vintage,Vintage Garden Resale,"1268 Southbound Gratiot Ave, Mt Clemens, MI 48043",Vintage Garden Resale,4.7,16,2.8,Low,,,Looks small; and meh,42.581257052749,-82.885743585051,-Have Lat-,-Have Lon-,96,https://maps.app.goo.gl/5JXTyZ6GbzJ5iZre8
LAFV,LAFV1,Vintage,Lost and Found Vintage,"510 S Washington Ave, Royal Oak, MI 48067",Lost and Found Vintage,4.7,114,3.8,Top,,,Legit Vintage,42.486255298557,-83.146635128433,-Have Lat-,-Have Lon-,97,https://maps.app.goo.gl/3BxKUiVzCnsCLXSy5
EHUR,EHUR1,Furniture,Everything Home Upscale Resale,"29862 Woodward Ave, Royal Oak, MI 48073",Everything Home Upscale Resale,4.1,131,2.0,Mid,,,Strong Marshall's vibe,42.509739743461,-83.178073567292,-Have Lat-,-Have Lon-,98,https://maps.app.goo.gl/CDQTeg1US5xMNh4F6
TWL,TWL1,Antique,Time Warp LLC,"31336 Harper Ave, St Clair Shores, MI 48082",Time Warp LLC,4.5,119,4.0,Top,,,Funky interesting,42.526049813184,-82.896065923419,-Have Lat-,-Have Lon-,99,https://maps.app.goo.gl/HyQqLg7wSYyv5pBR6
FUFA,FUFA1,Furniture,Fred's Unique Furniture & Antiques,"14091 8 Mile Rd, Warren, MI 48089",Fred's Unique Furniture & Antiques,4.7,251,3.2,Mid,,,FURNITURE STORE,42.449804120917,-82.979162786558,-Have Lat-,-Have Lon-,100,https://maps.app.goo.gl/MKtrdzHHnQCARSZB6
VWT-Warren,VWT4,Thrift,Value World Thrift,"2001 E 11 Mile Rd, Warren, MI 48092",Value World Thrift,3.8,473,4.1,Top,,,Seems like the less nice VWT,42.490817636058,-83.083943979949,-Have Lat-,-Have Lon-,101,https://maps.app.goo.gl/p3AiZeGfpB9S3gkt6
TS,TS1,Thrift,The ShareHouse,"5161 Jackson Rd, Ann Arbor, MI 48103",The ShareHouse,3.5,481,5.0,Top,must-visit,,Seems like a giant store.,42.287466209840,-83.830718044144,-Have Lat-,-Have Lon-,102,https://maps.app.goo.gl/TfYwGZMayHA58M5o8
VMDV,VMDV1,Vintage,V-Male Detroit Vintage,"23902 Van Born Rd, Dearborn Heights, MI 48125",V-Male Detroit Vintage,4.6,41,4.1,Top,,,Looks really good,42.269215142856,-83.268896777462,-Have Lat-,-Have Lon-,103,https://maps.app.goo.gl/e9PEHNHD6v61hnDF9
RIAVA,RIAVA1,Antique,"Retro Image Antiques, Vintage and Props","14246 Michigan Ave, Dearborn, MI 48126","Retro Image Antiques, Vintage and Props",4.7,15,3.8,Top,,,Looks pretty good. Wish there as more pictures,42.320780098694,-83.180944539064,-Have Lat-,-Have Lon-,104,https://maps.app.goo.gl/r8En9zcVbnGWNRGb8
FFL,FFL1,Antique,Fortunate Finds LLC,"8023 Summerfield Rd, Lambertville, MI 48144",Fortunate Finds LLC,4.5,4,1.8,Mid,,,"Seem's sparse, hard to say",41.761874140694,-83.628784984544,-Have Lat-,-Have Lon-,105,https://maps.app.goo.gl/MBWpRusp1QsqYtZM8
GSADL,GSADL1,Thrift,Goodwill Store and Donations: Livonia,"12651 Middlebelt Rd, Livonia, MI 48150",Goodwill Store and Donations: Livonia,3.7,434,3.8,Top,,,Classic Goodwill,42.376886316250,-83.333492634022,-Have Lat-,-Have Lon-,106,https://maps.app.goo.gl/J2niocEWjTXGa8vU9
FKVV,FKVV1,Vintage,Finders Keepers Vintage & Vinyl,"900 N Mill St, Plymouth, MI 48170",Finders Keepers Vintage & Vinyl,4.6,212,3.5,Mid,,,"Looks fine, regular vintage",42.380844433961,-83.460746136215,-Have Lat-,-Have Lon-,107,https://maps.app.goo.gl/5JPYS1xPVNjqpQDPA
VWT-Taylor,VWT5,Thrift,Value World Thrift,"22615 Ecorse Rd, Taylor, MI 48180",Value World Thrift,3.7,488,3.9,Top,,,Classic chain- Get in there.,42.255786246719,-83.256431414123,-Have Lat-,-Have Lon-,108,https://maps.app.goo.gl/jVAVgFmxrzLvJxwLA
VWT-Westland,VWT6,Thrift,Value World Thrift,"35300 Central City Pkwy, Westland, MI 48185",Value World Thrift,4.0,630,4.0,Top,,,Classic chain- Get in there.,42.343181412273,-83.388254959552,-Have Lat-,-Have Lon-,109,https://maps.app.goo.gl/HSzkJuRrXyLdoYnE9
FF,FF1,Consignment,Fabuless Finds,"16160 King Rd, Riverview, MI 48193",Fabuless Finds,4.4,290,1.8,Mid,,,Marshalls vibe,42.155332880174,-83.216486836687,-Have Lat-,-Have Lon-,110,https://maps.app.goo.gl/B7HuwNisp5CJfxNi7
VWT-Southgate,VWT7,Thrift,Value World Thrift,"12125 Dix Toledo Rd, Southgate, MI 48195",Value World Thrift,4.0,454,3.8,Top,,,Classic chain- Get in there.,42.219891152932,-83.193964111776,-Have Lat-,-Have Lon-,111,https://maps.app.goo.gl/Er1zomn7dSuQLpyd8
A,A1,Thrift,a2vintage,"130 W Michigan Ave, Ypsilanti, MI 48197",a2vintage,4.7,121,3.0,Mid,,,Not really my vibe vintage,42.241087220531,-83.613558399550,-Have Lat-,-Have Lon-,112,https://maps.app.goo.gl/Y2G5CNrATZKAXcWN6
VEML,VEML1,Vintage,"Vintage Eastern Market, LLC","1515 Division St Suite B, Detroit, MI 48207","Vintage Eastern Market, LLC",4.6,328,3.8,Top,must-visit,,"Multi-dealer, prolly worthwhile",42.347937450459,-83.039417146296,-Have Lat-,-Have Lon-,113,https://maps.app.goo.gl/xcPv5vdjfdFWVUSu6
GOGD,GOGD1,Thrift,Goodwill of Greater Detroit,"3111 Grand River Ave, Detroit, MI 48208",Goodwill of Greater Detroit,4.2,126,1.5,Mid,,,Reviews paint a bleak picture. Skip,42.340201348035,-83.068436103230,-Have Lat-,-Have Lon-,114,https://maps.app.goo.gl/q2D38ya2j2rLsF9k6
FV,FV1,Vintage,Flamingo Vintage,"5449 Vernor W, Detroit, MI 48209",Flamingo Vintage,4.8,101,3.8,Top,,,Looks like proper vintage,42.318117771122,-83.100947517187,-Have Lat-,-Have Lon-,115,https://maps.app.goo.gl/rceiMgJwDNukmB5z6
ASWOD,ASWOD1,ArchSalvage,Architectural Salvage Warehouse of Detroit,"5110 Bellevue St, Detroit, MI 48211",Architectural Salvage Warehouse of Detroit,4.1,103,4.0,Top,,,Seems to be building materials,42.372742111885,-83.024277361066,-Have Lat-,-Have Lon-,116,https://maps.app.goo.gl/MLFdgZ9u1MSrrh7NA
JT,JT1,Thrift,Joy Thrift,"10334 Joseph Campau Ave, Hamtramck, MI 48212",Joy Thrift,4.7,24,2.3,Low,,,Small meh thrift it seems,42.399217069634,-83.059327561569,-Have Lat-,-Have Lon-,117,https://maps.app.goo.gl/LTpsN5SWmeVw6pWx8
VogueVint,VV,Thrift,Vogue Vintage,"2141 Hilton Rd, Ferndale, MI 48220",Vogue Vintage,4.7,196,4.0,Top,must-visit,,Looks incredible,42.465465383937,-83.123326153120,-Have Lat-,-Have Lon-,118,https://maps.app.goo.gl/zQqbRNwQ8JiqwgY3A
SG,SG1,ArchSalvage,Salvage Garden,"3135 W McNichols Rd, Detroit, MI 48221",Salvage Garden,5.0,61,3.6,Top,,,Looks like nice ArchSalv,42.417227435423,-83.131427176573,-Have Lat-,-Have Lon-,119,https://maps.app.goo.gl/AHRgZ1HRQEQHL8tD7
VWT-OakPark,VWT8,Thrift,Value World Thrift,"22130 Coolidge Hwy, Oak Park, MI 48237",Value World Thrift,3.8,417,4.0,Top,,,Classic chain- Get in there.,42.457659382447,-83.181801001668,-Have Lat-,-Have Lon-,120,https://maps.app.goo.gl/3TfeD3LqxGAvdQVw5
DC,DC1,Sports,Detroit Closet,"10236 Fenkell Ave, Detroit, MI 48238",Detroit Closet,4.3,23,0.0,Mid,,,Sports stuff,42.402509142301,-83.162241704675,-Have Lat-,-Have Lon-,121,https://maps.app.goo.gl/VpAYqN6p7xopTdT36
OLSAA,OLSAA1,Vintage,Our Little Shoppe Antiques and Vintage,"5453 Auburn Rd, Shelby Township, MI 48317",Our Little Shoppe Antiques and Vintage,4.8,54,2.0,Low,,,Small meh thrift it seems,42.636811892229,-83.056796803127,-Have Lat-,-Have Lon-,122,https://maps.app.goo.gl/hHVtjjL9BXRdb1XS9
DFM,DFM1,Flea,Dixieland Flea Market,"2045 Dixie Hwy, Waterford Township, MI 48328",Dixieland Flea Market,4.1,"2,195",3.8,Mid,,,Open Fri-Sat,42.664912609917,-83.327943385205,-Have Lat-,-Have Lon-,123,https://maps.app.goo.gl/kTmnS2XjX12ZRDDH9
WBIS,WBIS1,Junk,We Buy It & Sell It All,"30930 Grand River Ave, Farmington, MI 48336",We Buy It & Sell It All,4.5,110,2.0,Mid,,,Not really vibing a lot of redecorating / upcycling,42.455175675039,-83.353448865411,-Have Lat-,-Have Lon-,124,https://maps.app.goo.gl/VvAjgdVVbfG2oAZy5
PVAAM,PVAAM1,Vintage,"Paradise Vintage, Antiques and More","2241B W Vienna Rd, Clio, MI 48420","Paradise Vintage, Antiques and More",4.7,90,2.0,Low,,,Low end vintage,43.177546998919,-83.719615153665,-Have Lat-,-Have Lon-,125,https://maps.app.goo.gl/TMJAYeX2XwMSfaGQ9
YT,YT1,Antique,Yesterday's Treasures,"300 S Leroy St, Fenton, MI 48430",Yesterday's Treasures,4.4,113,3.4,Mid,,,Seems worthwhile,42.793971787136,-83.705253336483,-Have Lat-,-Have Lon-,126,https://maps.app.goo.gl/rnubTCcPRRAUVtqG8
TVFH,TVFH1,Antique,The Vintage Farm House,"310 S Broad St, Holly, MI 48442",The Vintage Farm House,4.8,252,3.6,Top,,,"Lots of nice rusty junk, just a little boutique",42.789861980076,-83.626445301888,-Have Lat-,-Have Lon-,127,https://maps.app.goo.gl/jubGBLweWiApmKx17
TMM,TMM1,Antique,The Mega Mall,"15487 Old U.S. 27, Lansing, MI 48906",The Mega Mall,4.5,"1,136",4.5,Top,,NODAY,Tooo far out : Lansing,42.791729722999,-84.542704007561,-Have Lat-,-Have Lon-,128,https://maps.app.goo.gl/avdzLteb1qwQ7oyk7
LMLDV,LMLDV1,Vintage,Like Mother Like Daughter Vintage Treasures,"1133 S Washington Ave, Lansing, MI 48910",Vintage Junkies,4.8,50,3.3,Mid,,NODAY,Boutique Vintage,42.720978566379,-84.552287999203,-Have Lat-,-Have Lon-,129,https://maps.app.goo.gl/Teo97KefTKQ1EJ4K8
T,T1,Thrift,Thriftique,"1137 S Washington Ave, Lansing, MI 48910",Thriftique,4.8,103,3.3,Mid,,NODAY,Mid thrift,42.720856110232,-84.552288330551,-Have Lat-,-Have Lon-,130,https://maps.app.goo.gl/aNmqvLDTkinVpVKGA
BAM,BAM1,Antique,Blissfield Antiques Mall,"103 W Adrian St, Blissfield, MI 49228",Blissfield Antiques Mall,4.5,194,3.8,Mid,,,Large antiques mall; intesting,41.832957268055,-83.863720411647,-Have Lat-,-Have Lon-,131,https://maps.app.goo.gl/W2y4cgPouWUDRGmg8
1VM,1VM1,Antique,12 Vintage Market,"2751 W Michigan Ave, Clinton, MI 49236",12 Vintage Market,4.5,173,1.0,Low,,,Strong Marshall's vibe,42.073127746436,-84.038144423258,-Have Lat-,-Have Lon-,132,https://maps.app.goo.gl/PZAZHfuwEsQ4m28x6
KTS,KTS1,Thrift,Kiwanis Thrift Sale,"100 N Staebler Rd Suite C, Ann Arbor, MI 48103",Kiwanis Thrift Sale,4.5,259,3.8,Top,,,Classic well organized thrift store. Only Open Fri & Sat,42.289484510504,-83.858205824553,-Have Lat-,-Have Lon-,133,https://maps.app.goo.gl/METyuvaVZxKwmPrb6
TSAFS,TSAFS1,Thrift,The Salvation Army Family Store & Donation Center,"1621 S State St, Ann Arbor, MI 48104",The Salvation Army Family Store & Donation Center,4.1,872,3.7,Top,,,Classic well organized thrift store,42.261142020686,-83.740301350218,-Have Lat-,-Have Lon-,134,https://maps.app.goo.gl/RdHiwFSpAhA3hKNd7
SAFA,SAFA1,Junk,Such A Find Antiques & Estate Liquidations,"1247 Rosewood St, Ann Arbor, MI 48104",Such A Find Antiques & Estate Liquidations,3.3,22,2.9,Low,,,Looks like a shady operation; no interior photos,42.255096622648,-83.731832081647,-Have Lat-,-Have Lon-,135,https://maps.app.goo.gl/j8M5A5fLBRUrPrsS8
AATS,AATS1,Thrift,Ann Arbor Thrift Shop,"3500 Washtenaw Ave K, Ann Arbor, MI 48104",Ann Arbor Thrift Shop,4.1,113,3.5,Top,,,Look nice and legit,42.255689991053,-83.690434090721,-Have Lat-,-Have Lon-,136,https://maps.app.goo.gl/Vk5aXWeg2uzRKnQ28
VWT9,VWT10,Thrift,Value World Thrift,"1410 E Michigan Ave, Ypsilanti, MI 48198",Value World Thrift,4.0,610,4.0,Top,,,,42.245572221237,-83.582547913813,-Have Lat-,-Have Lon-,137,https://maps.app.goo.gl/56RvX6MP9X12ysH68
FASV,FASV1,Vintage,Find and Shine Vintage,"6 N Huron St, Ypsilanti, MI 48197",Find and Shine Vintage,5.0,9,3.2,Mid,,,"Looks okay, not very large AFAICT : Closed Mon, Tue, Wed",42.241136485064,-83.613010677507,-Have Lat-,-Have Lon-,138,https://maps.app.goo.gl/b367mE2twhPpLuHb9
AAV,AAV1,Vintage,Apple Annie’s Vintage,"29 E Cross St, Ypsilanti, MI 48198",Apple Annie’s Vintage,4.3,17,3.5,Mid,,,"Looks fine, but sparse. Closed on Monday",42.246015184298,-83.610298993102,-Have Lat-,-Have Lon-,139,https://maps.app.goo.gl/PnBytYFNFp12sK3q7
SCA,SCA1,Antique,Salt City Antiques,"115 W Michigan Ave, Ypsilanti, MI 48197",Salt City Antiques,4.7,138,4.0,Top,,,Looks like a great store! Not open Mon/Tue/Wed,42.240973944683,-83.613347261111,-Have Lat-,-Have Lon-,140,https://maps.app.goo.gl/AWYTLwqh8zALFEn56
TGV,TGV1,Vintage,The Getup Vintage,"210 S 4th Ave, Ann Arbor, MI 48104",The Getup Vintage,4.6,74,3.2,Mid,,,Looks like yet another Vintage Store,42.280318379617,-83.747361970544,-Have Lat-,-Have Lon-,141,https://maps.app.goo.gl/Ff7xBpeVzeFD2t596
JMA,JMA1,Antique,Jim MacDonald's Antiques,"29 E Cross St, Ypsilanti, MI 48198",Jim MacDonald's Antiques,4.4,22,3.4,MId,,,"Hard to say, little to go on. Closed Mon, Tue",42.246015184298,-83.610298993102,-Have Lat-,-Have Lon-,142,https://maps.app.goo.gl/vqekJzLPDYxjSQyt6
LHAAR,LHAAR1,Antique,Lucky Haskins Antiques and Retro,"27 E Cross St, Ypsilanti, MI 48198",Lucky Haskins Antiques and Retro,5.0,24,3.7,Mid,,,Has smells of being fun junk style store; Closed on Mondays,42.246015000802,-83.610324590991,-Have Lat-,-Have Lon-,143,https://maps.app.goo.gl/MEa47B61ymLrPXWb7
RAGS,R1,Vintage,Ragstock,"337 E Liberty St, Ann Arbor, MI 48104",Ragstock,4.3,391,4.0,Top,,,Looks like large funky vintage store,42.279535758164,-83.745316619500,-Have Lat-,-Have Lon-,144,https://maps.app.goo.gl/bac2JRZTP19C4TVE7
TTD,TTD1,Thrift,The Thrift Depot,"19 E Cross St, Ypsilanti, MI 48198",The Thrift Depot,4.8,72,3.7,Mid,,,Looks like a credible good thrift store. Closed On Mondays,42.246014266817,-83.610426982545,-Have Lat-,-Have Lon-,145,https://maps.app.goo.gl/H4nHXTLVpCFuu4NG9
GSADY,GSADY1,Thrift,Goodwill Store and Donations: Ypsilanti,"3782 Carpenter Rd, Ypsilanti, MI 48197",Goodwill Store and Donations: Ypsilanti,3.6,373,3.3,Mid,,,"Classic Goodwill, organized by color not size",42.233882578103,-83.680223661747,-Have Lat-,-Have Lon-,146,https://maps.app.goo.gl/DX6mZaksAc3dTvtv8
AAPTS,AAPTS1,Thrift,Ann Arbor PTO Thrift Shop,"2280 S Industrial Hwy, Ann Arbor, MI 48104",Ann Arbor PTO Thrift Shop,4.4,254,4.1,Top,,,"Looks like a great well organized larege store; Closed: Mon, Tue, Wed",42.252973223837,-83.733888018403,-Have Lat-,-Have Lon-,147,https://maps.app.goo.gl/vUGCF4oWRDR183ER6
HFHR,HFHR1,Thrift,Habitat For Humanity Restore,"3040 Co Rd 10, Canandaigua, NY 14424",Habitat For Humanity Restore,4.2,477,3.5,Top,,,,42.883930530766,-77.245744405984,-Have Lat-,-Have Lon-,148,https://maps.app.goo.gl/ZXYe7sZqeHVsd2uf9
FLTT,FLTT1,Thrift,Finger Lakes Treasure Trove,"222 S Main St, Canandaigua, NY 14424",Finger Lakes Treasure Trove,4.8,72,3.2,Mid,,,Mid local thrift store,42.884404921480,-77.279098944448,-Have Lat-,-Have Lon-,149,https://maps.app.goo.gl/mB2otonVArn6DG2D8
LWECO,LWECO1,Boutique,L W Emporium Co-op,"6355 Knickerbocker Rd, Ontario, NY 14519",L W Emporium Co-op,4.6,179,2.0,Top,,,,43.229053713099,-77.286331166167,-Have Lat-,-Have Lon-,150,https://maps.app.goo.gl/SCD4eu8LaKdeq8BSA
EA,EA1,Antique,Eastridge Antiques,"1850 East Ridge Road, Rochester, NY 14622",Eastridge Antiques,4.5,281,3.5,Mid,,,Looks like it's pretty big and worthwhile,43.201701331846,-77.568000802970,-Have Lat-,-Have Lon-,151,https://maps.app.goo.gl/9EQifJC5UV4o4Hkz8
SV,SV1,Vintage,Staple Vintage,"664 University Ave, Rochester, NY 14607",Staple Vintage,4.9,17,1.0,Top,,,Nice store; if only 90s were vintage,43.156032601504,-77.585135392423,-Have Lat-,-Have Lon-,152,https://maps.app.goo.gl/L3dUwmM6XXQbrT546
SAT,SAT1,Antique,South Avenue Treasures,"1992 South Ave, Rochester, NY 14620",South Avenue Treasures,4.2,26,3.5,Mid,,,Looks like it has potential,43.117965785783,-77.616711385111,-Have Lat-,-Have Lon-,153,https://maps.app.goo.gl/KNraJz68PsmPygDU9
HMA,HMA1,Antique,Henrietta Mall Antiques,"945 Jefferson Rd, Rochester, NY 14623",Henrietta Mall Antiques,4.4,172,3.0,Top,,,Multi-dealer; a lot of glassed in display cases; maybe over sampled on collectibles,43.087137141112,-77.613969682853,-Have Lat-,-Have Lon-,154,https://maps.app.goo.gl/tQJ6bKEbY35zGhyt9
CAOL,CAOL1,Antique,Crossroads Antiques of Lima,"7348 E Main St, Lima, NY 14485",Crossroads Antiques of Lima,4.5,103,3.6,Top,,,My kind of junk pile store,42.905556490667,-77.609329463229,-Have Lat-,-Have Lon-,155,https://maps.app.goo.gl/hfhPUNRVKY1SoPnd8
CFM,CFM1,Junk,Charlotte Flea Market,"4421 Lake Ave, Rochester, NY 14612",Charlotte Flea Market,4.1,59,3.0,Mid,,,Owner seems to like putting rope on things?,43.251201040280,-77.613793684940,-Have Lat-,-Have Lon-,156,https://maps.app.goo.gl/Mz5oBCWSb5umBmM36
TSOWR,TSOWR1,Antique,The Shops On West Ridge,"3200 W Ridge Rd, Rochester, NY 14626",The Shops On West Ridge,4.6,833,2.8,Top,,,Seems to be a lot of boutique stuff,43.211543840519,-77.713369242519,-Have Lat-,-Have Lon-,157,https://maps.app.goo.gl/wgNFBo5ZCbsfWn5o6
LH,LH1,Antique,Liberty Hollow,"4975 W Ridge Rd, Spencerport, NY 14559",Liberty Hollow,4.5,244,3.6,Top,,,"Looks like a good size store with hints of boutique, but also curation",43.218154657783,-77.788267833492,-Have Lat-,-Have Lon-,158,https://maps.app.goo.gl/1uNSo7RBjAYMhjGu7
TTP,TTP1,Antique,The Trading Post,"110 W Main St, Avon, NY 14414",The Trading Post,4.2,118,3.0,Mid,,,Mostly furniture I'm not interested in,42.913406630515,-77.748374180309,-Have Lat-,-Have Lon-,159,https://maps.app.goo.gl/tLFRgov6DnihTHex6
NDS,NDS1,Boutique,Not Dot Shop,"127 Main St, Geneseo, NY 14454",Not Dot Shop,4.9,34,2.5,Top,,,Boutique!,42.794855671151,-77.817052162003,-Have Lat-,-Have Lon-,160,https://maps.app.goo.gl/PTBQzsPrdtZ2kzVz7
UVM,UVM1,Antique,Upstate Vintage Market,"8100 W Ridge Rd, Brockport, NY 14420",Upstate Vintage Market,4.5,91,3.4,Mid,,,"Some interesting stuff, not top notch, but in bounds",43.229661140342,-77.911465144516,-Have Lat-,-Have Lon-,161,https://maps.app.goo.gl/8eq4dFsx7uLzwwC29
AFAC,AFAC1,Antique,Aprils Finds Antiques & Collectibles,"7895 E Main Rd, Le Roy, NY 14482",Aprils Finds Antiques & Collectibles,4.8,90,3.4,Mid,,,"Lookd solid, a bit of boutique but has tools",42.980170741840,-77.959664954758,-Have Lat-,-Have Lon-,162,https://maps.app.goo.gl/v2y3CP85RirhiRNx8
2TAC,2TAC1,Junk,2nd Time Around Consignment,"123 US-20A, Leicester, NY 14481",2nd Time Around Consignment,4.7,237,3.3,Mid,,,"Looks solid, but a bit modern junk-y",43.004763200000,-78.816429100000,-Have Lat-,-Have Lon-,163,https://maps.app.goo.gl/WSRwwPM5kecb4zdP7
GSDC,GSDC1,Thrift,Goodwill Store & Donation Center,"4152 W Main Street Rd, Batavia, NY 14020",Goodwill Store & Donation Center,3.9,114,3.9,Top,,,"Big Goodwill, appears to be sorted by size",43.005748379981,-78.206304514171,-Have Lat-,-Have Lon-,164,https://maps.app.goo.gl/ctEa3E9VjiiRdNr4A
AWFM,AWFM1,Antique,Antique World & Flea Market,"11111 Main St, Clarence, NY 14031",Antique World & Flea Market,4.3,553,4.8,Top,,,Looks great: https://antiqueworldmarket.com/,42.983831250138,-78.572300161758,-Have Lat-,-Have Lon-,165,https://maps.app.goo.gl/1GK9Wx5QvU333YLh7
JADA,JADA1,Antique,Junk and Disorderly Arts & Antiques,"265 Main St, Arcade, NY 14009",Junk and Disorderly Arts & Antiques,4.5,48,3.8,Top,,,Seems to indicate large place.,42.534003281563,-78.423723023849,-Have Lat-,-Have Lon-,166,https://maps.app.goo.gl/joFb9qDREx2VezL57
WV,WV1,Vintage,Wallflower Vintage,"712 Main St, East Aurora, NY 14052",Wallflower Vintage,5.0,1,1.0,Mid,,,"No information, Website looks sparse and not promising",42.767885173302,-78.608222999774,-Have Lat-,-Have Lon-,167,https://maps.app.goo.gl/RcRdA9CwVcKyw8mf7
