,,,,,,,,,,,,,,,,,,,,Correlation,Population, MedianIncome ,Pct100kPlus,PctRenter,TotalRentersPopulation,PctBAPlus,Stores
,,,,,,,,,,,,,,,,,,,,All Types,-0.163,0.361,0.347,-0.446,-0.176,-0.053,27
,,,,,,,,,,,,,,,,,,,,Thrift,-0.254,0.488,0.475,-0.529,-0.262,0.150,14
,,,,,,,,,,,,,,,,,,,,Antique,0.116,0.041,0.131,-0.103,0.143,0.062,8
,,,,,,,,,,,,,,,,,,,,Vintage,-0.004,0.477,-0.305,-0.998,0.065,-0.983,3
,,,,,,,,,,,,,,,,,,,,Nautical,-,-,-,-,-,-,1
,,,,,,,,,,,,,,,,,,,,Junk,-,-,-,-,-,-,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_timestamp,run_id,day_id,store_id,store_name,visited,day-of-mqa,must_visit,arrive,depart,lat,lon,address,dwell_min,drive_min,distance_mi,score,tags,Store Type,ZipCode,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,PctRenter,TotalRentersPopulation,PctBAPlus,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TS,The ShareHouse,TRUE,5.0,TRUE,10:09,10:39,42.28746621,-83.83071804,"5161 Jackson Rd, Ann Arbor, MI 48103",30,69.34421136,40.45078996,5.0,must-visit;Thrift,Thrift,48103,ZCTA5 48103,"54,635"," $ 115,513.00 ",56.3%,33.8%,"24,202",65.2%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,RWBT,Red White & Blue Thrift Store,TRUE,5.0,FALSE,9:31,10:01,42.57294545,-82.89015147,"37545 Southbound Gratiot Ave, Clinton Township, MI 48036",30,30.94556453,18.05157931,4.0,Thrift,Thrift,48036,ZCTA5 48036,"22,160"," $ 65,109.00 ",28.2%,29.2%,9471,20.5%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,TWL,Time Warp LLC,TRUE,5.0,FALSE,10:07,10:37,42.52604981,-82.89606592,"31336 Harper Ave, St Clair Shores, MI 48082",30,5.578571691,3.25416682,4.0,Antique,Antique,48082,ZCTA5 48082,"16,164"," $ 76,372.00 ",36.8%,13.0%,7240,25.1%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,AVM,Armory vintage Market,TRUE,5.0,TRUE,12:37,13:07,41.34348745,-83.09905933,"1005 E State St, Fremont, OH 43420",30,56.51571804,32.96750219,4.1,must-visit;Vintage,Vintage,43420,ZCTA5 43420,"29,400"," $ 62,802.00 ",27.0%,29.2%,12488,17.9%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,BSS,Big Ship Salvage,TRUE,5.0,TRUE,13:49,14:19,41.32781409,-82.6206639,"11001 US Hwy 250 N unit d-1, Milan, OH 44846",30,42.58716626,24.84251365,5.0,must-visit;Nautical,Nautical,44846,ZCTA5 44846,"3,361"," $ 97,109.00 ",46.4%,16.2%,1236,31.7%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,SL,Sweet Lorain,TRUE,5.0,TRUE,16:41,17:11,41.47332131,-81.73391536,"7105 Lorain Ave, Cleveland, OH 44102",30,3.591030586,2.094767842,4.9,must-visit;Antique,Antique,44102,ZCTA5 44102,"40,178"," $ 40,303.00 ",16.7%,64.9%,19189,23.2%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,SBTL,Shops By The Lake,TRUE,5.0,TRUE,12:10,12:40,41.74899488,-81.20878091,"1871 N Ridge Rd, Painesville, OH 44077",30,21.21643184,15.91232388,4.0,must-visit;Vintage,Vintage,44077,ZCTA5 44077,"57,947"," $ 80,692.00 ",39.9%,26.7%,23543,28.1%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,SAVERSB,Savers,TRUE,5.0,TRUE,16:50,17:20,42.7853963,-78.8107985,"3701 McKinley Pkwy, Buffalo, NY 14219",30,44.13252897,33.09939673,4.8,must-visit;Thrift,Thrift,14219,ZCTA5 14219,"10,894"," $ 75,465.00 ",35.1%,25.4%,5298,21.0%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,SCR,SCRAP Creative Reuse,TRUE,4.2,FALSE,12:25,12:55,42.25267524,-83.67351038,"4567 Washtenaw Ave, Ann Arbor, MI 48108",30,1.52608107,0.8902139577,3.8,Thrift,Thrift,48108,ZCTA5 48108,"27,472"," $ 80,425.00 ",40.9%,44.7%,"12,105",60.0%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TSAFSCT,The Salvation Army Family Store & Donation Center,TRUE,4.2,FALSE,13:49,14:19,42.35143979,-83.46917003,"43403 Joy Rd, Canton Township, MI 48187",30,15.99710136,9.33164246,3.7,Thrift,Thrift,48187,ZCTA5 48187,"52,710"," $ 117,980.00 ",58.0%,27.3%,19413,50.1%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TPCAA,Town Peddler Craft and Antique Mall,TRUE,4.2,TRUE,15:14,15:44,42.36786559,-83.39102513,"35323 Plymouth Rd, Livonia, MI 48150",30,13.87121142,8.091539994,4.0,must-visit;Antique,Antique,48150,ZCTA5 48150,"26,749"," $ 94,058.00 ",45.2%,11.4%,10516,34.4%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Eastpointe,Value World Thrift,TRUE,4.2,FALSE,10:43,11:13,42.47898517,-82.92695946,"24900 Kelly Rd, Eastpointe, MI 48021",30,6.193131961,3.612660311,4.5,Thrift,Thrift,48021,ZCTA5 48021,"34,003"," $ 58,196.00 ",23.0%,31.1%,13400,14.2%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,FSW,Fat Sally's Warehouse,TRUE,4.2,FALSE,13:11,13:41,41.89385581,-80.80406811,"1569 Laird Dr, Ashtabula, OH 44004",30,30.82399945,23.11799959,4.1,Antique,Antique,44004,ZCTA5 44004,"31,076"," $ 49,507.00 ",17.7%,32.7%,13138,14.5%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,SAVERST,Savers,TRUE,4.2,TRUE,11:59,12:29,42.9811124,-78.82575108,"2309 Eggert Rd, Tonawanda Town, NY 14150",30,5.976390166,4.482292625,5.0,must-visit;Thrift,Thrift,14150,ZCTA5 14150,"41,585"," $ 70,294.00 ",32.0%,29.1%,19397,31.7%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,AWFM,Antique World & Flea Market,TRUE,4.2,FALSE,12:46,13:16,42.98383125,-78.57230016,"11111 Main St, Clarence, NY 14031",30,17.08328448,12.81246336,4.8,Antique,Antique,14031,ZCTA5 14031,"9,741"," $ 99,639.00 ",49.8%,20.0%,4129,46.7%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,RAGS,Ragstock,TRUE,3.5,FALSE,10:47,11:17,42.27953576,-83.74531662,"337 E Liberty St, Ann Arbor, MI 48104",30,7.542452051,4.399763696,4.0,Vintage,Vintage,48104,ZCTA5 48104,"43,762"," $ 63,341.00 ",37.0%,63.9%,"17,396",71.1%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,VWT9,Value World Thrift,TRUE,3.5,FALSE,13:03,13:33,42.24557222,-83.58254791,"1410 E Michigan Ave, Ypsilanti, MI 48198",30,8.019646681,4.678127231,4.0,Thrift,Thrift,48198,ZCTA5 48198,"39,507"," $ 63,678.00 ",27.7%,41.4%,"16,477",33.0%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,VWT-Westland,Value World Thrift,TRUE,3.5,FALSE,15:47,16:17,42.34318141,-83.38825496,"35300 Central City Pkwy, Westland, MI 48185",30,2.933804906,1.711386195,4.0,Thrift,Thrift,48185,ZCTA5 48185,"48,364"," $ 59,085.00 ",23.6%,43.7%,22200,21.7%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Warren,Value World Thrift,TRUE,3.5,FALSE,11:27,11:57,42.49081764,-83.08394398,"2001 E 11 Mile Rd, Warren, MI 48092",30,13.78393652,8.040629639,4.1,Thrift,Thrift,48092,ZCTA5 48092,"27,867"," $ 71,761.00 ",31.9%,21.9%,10708,25.1%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,TVAT,The Vault Antiques & Treasures,TRUE,3.5,TRUE,10:30,11:00,41.69228167,-83.58222713,"1583 W Sylvania Ave, Toledo, OH 43612",30,89.94825171,52.4698135,4.3,must-visit;Antique,Antique,43612,ZCTA5 43612,"28,231"," $ 50,484.00 ",18.7%,46.3%,11970,12.8%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,TCKA,The Copper Kettle Antiques,TRUE,3.5,FALSE,11:10,11:40,41.61161084,-83.62585187,"1544 S Byrne Rd, Toledo, OH 43614",30,10.3057735,6.011701209,4.6,Antique,Antique,43614,ZCTA5 43614,"29,396"," $ 57,253.00 ",23.0%,42.0%,14083,30.1%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,VWT-Lakewood,Value World Thrift,TRUE,3.5,FALSE,16:08,16:38,41.48395804,-81.77180957,"11900 Detroit Ave, Lakewood, OH 44107",30,13.10738239,7.64597306,4.5,Thrift,Thrift,44107,ZCTA5 44107,"50,384"," $ 65,778.00 ",30.9%,55.6%,26651,51.0%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,AU,Antiques & Uniques,TRUE,3.5,TRUE,11:19,11:49,41.61622423,-81.46074243,"30200 Euclid Ave, Wickliffe, OH 44092",30,19.22922622,14.42191966,4.8,must-visit;Antique,Antique,44092,ZCTA5 44092,"17,476"," $ 67,907.00 ",30.2%,36.2%,7861,27.2%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,AB,AMVETS Buffalo,TRUE,3.5,TRUE,10:51,11:21,42.94529034,-78.87824685,"1833 Elmwood Ave, Buffalo, NY 14207",30,12.46567542,9.349256563,4.6,must-visit;Thrift,Thrift,14207,ZCTA5 14207,"25,731"," $ 38,951.00 ",13.6%,66.0%,10356,18.1%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,GJE,Grandma Jaree's Emporium,TRUE,3.5,TRUE,16:08,16:38,42.93271633,-76.57297966,"25 McMaster St, Auburn, NY 13021",30,64.89632365,48.67224273,4.9,must-visit;Junk,Junk,13021,ZCTA5 13021,"37,479"," $ 58,946.00 ",27.1%,37.2%,16973,25.3%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TSAFS,The Salvation Army Family Store & Donation Center,FALSE,,FALSE,11:19,11:49,42.26114202,-83.74030135,"1621 S State St, Ann Arbor, MI 48104",30,2.222586758,1.296508942,3.7,Thrift,Thrift,48104,ZCTA5 48104,"43,762"," $ 63,341.00 ",37.0%,63.9%,"17,396",71.1%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,AATS,Ann Arbor Thrift Shop,FALSE,,FALSE,11:54,12:24,42.25568999,-83.69043409,"3500 Washtenaw Ave K, Ann Arbor, MI 48104",30,4.419049667,2.577778972,3.5,Thrift,Thrift,48104,ZCTA5 48104,"43,762"," $ 63,341.00 ",37.0%,63.9%,"17,396",71.1%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TBIN,The Barn in Northville,FALSE,,FALSE,14:30,15:00,42.43630175,-83.51971918,"48120 Eight Mile W, Northville, MI 48167",30,10.98127499,6.405743746,3.8,Antique,Antique,48167,ZCTA5 48167,"23,281"," $ 118,378.00 ",56.0%,27.2%,10104,55.4%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VogueVint,Vogue Vintage,FALSE,,FALSE,12:01,12:31,42.46546538,-83.12332615,"2141 Hilton Rd, Ferndale, MI 48220",30,4.566576039,2.663836023,4.0,Thrift,Thrift,48220,ZCTA5 48220,"21,502"," $ 86,095.00 ",40.2%,35.5%,11242,49.6%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-OakPark,Value World Thrift,FALSE,,FALSE,12:36,13:06,42.45765938,-83.181801,"22130 Coolidge Hwy, Oak Park, MI 48237",30,5.192626959,3.029032393,4.0,Thrift,Thrift,48237,ZCTA5 48237,"29,370"," $ 65,882.00 ",28.5%,40.7%,12722,37.5%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Southfield,Value World Thrift,FALSE,,FALSE,13:16,13:46,42.4427422,-83.29583648,"25646 Eight Mile W, Southfield, MI 48033",30,10.12186126,5.904419068,4.5,Thrift,Thrift,48033,ZCTA5 48033,"16,900"," $ 55,599.00 ",23.2%,49.4%,8406,30.6%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VMDV,V-Male Detroit Vintage,FALSE,,FALSE,14:07,14:37,42.26921514,-83.26889678,"23902 Van Born Rd, Dearborn Heights, MI 48125",30,20.68857988,12.06833826,4.1,Vintage,Vintage,48125,ZCTA5 48125,"22,156"," $ 59,534.00 ",23.7%,30.5%,8215,15.3%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Taylor,Value World Thrift,FALSE,,FALSE,14:39,15:09,42.25578625,-83.25643141,"22615 Ecorse Rd, Taylor, MI 48180",30,1.929780241,1.12570514,3.9,Thrift,Thrift,48180,ZCTA5 48180,"62,405"," $ 59,537.00 ",24.3%,34.2%,25256,15.5%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,MCAG,Motor City Antique Gallery,FALSE,,FALSE,15:31,16:01,42.07318624,-83.30926085,"13431 Telegraph Rd, Flat Rock, MI 48134",30,22.12016001,12.90342667,4.0,Antique,Antique,48134,ZCTA5 48134,"24,472"," $ 88,821.00 ",43.1%,16.1%,9284,24.3%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Southgate,Value World Thrift,FALSE,,FALSE,16:21,16:51,42.21989115,-83.19396411,"12125 Dix Toledo Rd, Southgate, MI 48195",30,20.11156771,11.73174783,3.8,Thrift,Thrift,48195,ZCTA5 48195,"29,551"," $ 64,635.00 ",27.1%,33.8%,12352,20.7%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,FV,Flamingo Vintage,FALSE,,FALSE,17:05,17:35,42.31811777,-83.10094752,"5449 Vernor W, Detroit, MI 48209",30,14.20687125,8.28734156,3.8,Vintage,Vintage,48209,ZCTA5 48209,"27,534"," $ 42,152.00 ",11.9%,41.5%,9111,9.2%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,VWT-Olmstead,Value World Thrift,FALSE,,FALSE,15:25,15:55,41.42552861,-81.89719958,"24869 Lorain Rd, North Olmsted, OH 44070",30,65.33484892,38.11199521,4.5,Thrift,Thrift,44070,ZCTA5 44070,"32,031"," $ 85,435.00 ",40.2%,22.6%,13410,31.5%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,PG,Paradise Galleria,FALSE,,TRUE,17:13,17:43,41.48075275,-81.71250022,"3910 Lorain Ave, Cleveland, OH 44113",30,2.094396145,1.221731084,4.1,must-visit;Vintage,Vintage,44113,ZCTA5 44113,"19,619"," $ 70,140.00 ",35.8%,74.5%,10714,45.5%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,RRAC,Rcs & Randys Antiques Co-Op,FALSE,,FALSE,15:36,16:06,42.48996713,-79.32341572,"212 Lake Shore Dr E, Dunkirk, NY 14048",30,115.0175079,86.26313092,4.0,Antique,Antique,14048,ZCTA5 14048,"14,949"," $ 52,971.00 ",19.0%,37.2%,6775,17.4%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,ATSWS,AMVETS Thrift Store West Seneca,FALSE,,FALSE,10:08,10:38,42.82879105,-78.78430944,"1900 Ridge Rd, West Seneca, NY 14224",30,8.293827802,6.220370851,4.1,Thrift,Thrift,14224,ZCTA5 14224,"41,101"," $ 76,250.00 ",37.2%,24.0%,18448,32.4%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,HTSHFB,Hearts Thrift Store - Hearts for the Homeless Thrift Store (Buffalo),FALSE,,FALSE,11:23,11:53,42.95277714,-78.90550119,"890 Tonawanda St, Buffalo, NY 14207",30,1.962981878,1.472236408,4.3,Thrift,Thrift,14207,ZCTA5 14207,"25,731"," $ 38,951.00 ",13.6%,66.0%,10356,18.1%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,SAVERSR,Savers,FALSE,,FALSE,14:33,15:03,43.20885211,-77.46011435,"980 Ridge Rd, Webster, NY 14580",30,77.63547989,58.22660992,5.0,Thrift,Thrift,14580,ZCTA5 14580,"54,466"," $ 95,499.00 ",47.4%,28.3%,23728,42.7%,
,DT-V2.1,Tue,TSAFS6,The Salvation Army Family Store & Donation Center,TRUE,4.0,FALSE,,,,,,,,,4.0,Thrift,Thrift,48035,ZCTA5 48035,"33,619"," $ 69,245.00 ",27.1%,36.8%,14930,19.5%,
,DT-V2.1,Tue,VWT-ClinTown,Value World Thrift,TRUE,4.2,FALSE,,,,,,,,,4.5,Thrift,Thrift,48035,ZCTA5 48035,"33,619"," $ 69,245.00 ",27.1%,36.8%,14930,19.5%,